id,name,city,country,address,price_per_night,rating,review_count,star_rating,image_url,description,amenities,free_cancellation,created_at,updated_at
11,Claridge's,London,UK,"Brook Street, London W1K 4HR",485.00,4.9,1876,5,https://picsum.photos/seed/hotel-11/400/260,"Art Deco jewel in Mayfair. Michelin-starred dining and afternoon tea.",WiFi|Restaurant|Bar|Room Service|Spa|Concierge,0,2024-01-25 10:00:00,2025-02-01 12:00:00
12,Raffles Singapore,Singapore,Singapore,"1 Beach Road, Singapore 189673",650.00,4.9,2890,5,https://picsum.photos/seed/hotel-12/400/260,"Colonial landmark. Home of the Singapore Sling and legendary service.",WiFi|Pool|Spa|Restaurant|Bar|Concierge|Courtyard,0,2024-01-26 10:00:00,2025-02-01 12:00:00
13,Le Bristol Paris,Paris,France,"112 Rue du Faubourg Saint-Honore, 75008 Paris",890.00,4.9,1123,5,https://picsum.photos/seed/hotel-13/400/260,"Palace hotel with three Michelin stars. Indoor pool and garden.",WiFi|Pool|Spa|Restaurant|Bar|Room Service|Gym|Concierge,0,2024-01-27 10:00:00,2025-02-01 12:00:00
14,Shinjuku Granbell,Tokyo,Japan,"2-14-5 Kabukicho, Shinjuku-ku, Tokyo 160-0021",142.00,4.4,4567,4,https://picsum.photos/seed/hotel-14/400/260,"Design hotel in Kabukicho. Rooftop bar and compact stylish rooms.",WiFi|Restaurant|Bar|Concierge,1,2024-01-28 10:00:00,2025-02-01 12:00:00
15,SoHo House New York,New York,USA,"29-9 Northern Blvd, Long Island City, NY 11101",320.00,4.7,876,5,https://picsum.photos/seed/hotel-15/400/260,"Members-style hotel with pool, cinema, and rooftop. Manhattan views.",WiFi|Pool|Restaurant|Bar|Gym|Cinema|Rooftop,1,2024-01-29 10:00:00,2025-02-01 12:00:00
16,Four Seasons Bali at Sayan,Ubud,Indonesia,"Sayan, Ubud, Gianyar 80571",720.00,4.9,654,5,https://picsum.photos/seed/hotel-16/400/260,"River valley retreat with infinity pool. Yoga, spa, and organic cuisine.",WiFi|Pool|Spa|Restaurant|Yoga|Concierge|Free Breakfast,0,2024-01-30 10:00:00,2025-02-01 12:00:00
17,The Savoy,London,UK,"Strand, London WC2R 0EZ",450.00,4.9,2341,5,https://picsum.photos/seed/hotel-17/400/260,"River Thames views and American Bar. Afternoon tea and Gordon Ramsay.",WiFi|Restaurant|Bar|Room Service|Spa|Concierge,1,2024-02-01 10:00:00,2025-02-01 12:00:00
18,Fullerton Bay Hotel,Singapore,Singapore,"80 Collyer Quay, Singapore 049326",420.00,4.8,1567,5,https://picsum.photos/seed/hotel-18/400/260,"Waterfront luxury with Marina Bay views. Rooftop bar and pool.",WiFi|Pool|Restaurant|Bar|Spa|Concierge,1,2024-02-02 10:00:00,2025-02-01 12:00:00
19,Hotel de Crillon,Paris,France,"10 Place de la Concorde, 75008 Paris",1100.00,4.9,987,5,https://picsum.photos/seed/hotel-19/400/260,"Palace on Place de la Concorde. Rosewood spa and L'Ecrin dining.",WiFi|Pool|Spa|Restaurant|Bar|Gym|Concierge,0,2024-02-03 10:00:00,2025-02-01 12:00:00
20,Capsule Inn Shinjuku,Tokyo,Japan,"2-2-2 Yoyogi, Shibuya-ku, Tokyo 151-0053",45.00,4.2,8920,2,https://picsum.photos/seed/hotel-20/400/260,"Authentic capsule hotel. Communal bath and convenient location.",WiFi|Concierge|Locker,1,2024-02-04 10:00:00,2025-02-01 12:00:00
21,The Standard High Line,New York,USA,"848 Washington St, New York, NY 10014",275.00,4.6,1890,4,https://picsum.photos/seed/hotel-21/400/260,"Design hotel on the High Line. Rooftop and Le Bain nightclub.",WiFi|Restaurant|Bar|Gym|Rooftop|Concierge,1,2024-02-05 10:00:00,2025-02-01 12:00:00
22,The Legian Seminyak,Bali,Indonesia,"Jl. Kayu Aya, Seminyak, Bali 80361",412.00,4.8,567,5,https://picsum.photos/seed/hotel-22/400/260,"Beachfront all-suite hotel. Three pools and direct beach access.",WiFi|Pool|Spa|Restaurant|Bar|Beach Access|Concierge,1,2024-02-06 10:00:00,2025-02-01 12:00:00
23,The Hoxton Holborn,London,UK,"199-206 High Holborn, London WC1V 7BD",185.00,4.5,2345,4,https://picsum.photos/seed/hotel-23/400/260,"Trendy hotel in a former telephone exchange. Lobby bar and restaurant.",WiFi|Restaurant|Bar|Concierge|Meeting Rooms,1,2024-02-07 10:00:00,2025-02-01 12:00:00
24,Hotel 1929,Singapore,Singapore,"50 Keong Saik Road, Singapore 089154",165.00,4.5,2100,3,https://picsum.photos/seed/hotel-24/400/260,"Boutique heritage shophouse hotel in Chinatown. Rooftop bar.",WiFi|Restaurant|Bar|Concierge|Rooftop,1,2024-02-08 10:00:00,2025-02-01 12:00:00
25,Mama Shelter Paris East,Paris,France,"109 Rue de Bagnolet, 75020 Paris",98.00,4.3,3456,3,https://picsum.photos/seed/hotel-25/400/260,"Fun design hotel with restaurant and rooftop. Great value in the 20th.",WiFi|Restaurant|Bar|Concierge|Rooftop,1,2024-02-09 10:00:00,2025-02-01 12:00:00
26,Shibuya Granbell,Tokyo,Japan,"15-17 Sakuragaoka-cho, Shibuya-ku, Tokyo 150-0031",168.00,4.5,3210,4,https://picsum.photos/seed/hotel-26/400/260,"Design hotel near Shibuya crossing. Rooftop and compact rooms.",WiFi|Restaurant|Bar|Concierge|Rooftop,1,2024-02-10 10:00:00,2025-02-01 12:00:00
27,Ace Hotel Brooklyn,New York,USA,"88 Ash St, Brooklyn, NY 11201",210.00,4.5,1543,4,https://picsum.photos/seed/hotel-27/400/260,"Industrial-chic in East Williamsburg. Lobby bar and events.",WiFi|Restaurant|Bar|Concierge|Event Space,1,2024-02-11 10:00:00,2025-02-01 12:00:00
28,Koman at Ubud,Bali,Indonesia,"Jl. Raya Keliki, Keliki, Tegallalang, Ubud 80571",92.00,4.6,1876,3,https://picsum.photos/seed/hotel-28/400/260,"Eco retreat with rice field views. Pool and organic breakfast.",WiFi|Pool|Restaurant|Free Breakfast|Yoga,1,2024-02-12 10:00:00,2025-02-01 12:00:00
29,citizenM London Bankside,London,UK,"20 Lavington Street, London SE1 0NZ",155.00,4.6,4321,4,https://picsum.photos/seed/hotel-29/400/260,"Tech-savvy rooms and 24/7 lobby. Near Tate Modern and Southwark.",WiFi|Restaurant|Bar|Concierge|Rooftop,1,2024-02-13 10:00:00,2025-02-01 12:00:00
30,The Warehouse Hotel,Singapore,Singapore,"320 Havelock Road, Singapore 169628",245.00,4.7,1234,4,https://picsum.photos/seed/hotel-30/400/260,"Restored riverside warehouse. Restaurant and bar in Robertson Quay.",WiFi|Restaurant|Bar|Concierge|Riverside,1,2024-02-14 10:00:00,2025-02-01 12:00:00
31,Generator Paris,Paris,France,"37 Rue du General Foy, 75008 Paris",65.00,4.1,5678,2,https://picsum.photos/seed/hotel-31/400/260,"Design hostel near Gare du Nord. Bar and social spaces.",WiFi|Bar|Concierge|Locker|Shared Kitchen,1,2024-02-15 10:00:00,2025-02-01 12:00:00
32,Trunk House,Tokyo,Japan,"5-31 Jingumae, Shibuya-ku, Tokyo 150-0001",385.00,4.8,567,5,https://picsum.photos/seed/hotel-32/400/260,"Luxury boutique in Harajuku. Lounge and rooftop in a quiet lane.",WiFi|Restaurant|Bar|Concierge|Rooftop,1,2024-02-16 10:00:00,2025-02-01 12:00:00
33,The Bowery Hotel,New York,USA,"335 Bowery, New York, NY 10003",365.00,4.7,987,5,https://picsum.photos/seed/hotel-33/400/260,"Downtown landmark with lobby fireplace and Gemma restaurant.",WiFi|Restaurant|Bar|Room Service|Concierge,1,2024-02-17 10:00:00,2025-02-01 12:00:00
34,Alila Ubud,Bali,Indonesia,"Desa Melinggih Kelod, Payangan, Gianyar 80572",298.00,4.8,876,5,https://picsum.photos/seed/hotel-34/400/260,"Cliff-edge pool above the Ayung River. Spa and organic dining.",WiFi|Pool|Spa|Restaurant|Yoga|Concierge,1,2024-02-18 10:00:00,2025-02-01 12:00:00
35,The Z Hotel Piccadilly,London,UK,"2 Orange Street, London WC2H 7DF",125.00,4.4,3456,3,https://picsum.photos/seed/hotel-35/400/260,"Compact rooms in the West End. Free wine and cheese evening.",WiFi|Bar|Concierge|Free Evening Reception,1,2024-02-19 10:00:00,2025-02-01 12:00:00
36,Naumi Hotel,Singapore,Singapore,"41 Seah Street, Singapore 188396",198.00,4.6,1876,4,https://picsum.photos/seed/hotel-36/400/260,"Boutique hotel near Raffles. Rooftop pool and afternoon tea.",WiFi|Pool|Restaurant|Bar|Concierge|Rooftop,1,2024-02-20 10:00:00,2025-02-01 12:00:00
37,Le Marais Loft,Paris,France,"15 Rue du Roi de Sicile, 75004 Paris",175.00,4.6,2345,4,https://picsum.photos/seed/hotel-37/400/260,"Apartment-style rooms in the Marais. Near galleries and cafes.",WiFi|Concierge|Kitchenette,1,2024-02-21 10:00:00,2025-02-01 12:00:00
38,Andaz Tokyo,Tokyo,Japan,"1-23-4 Toranomon, Minato-ku, Tokyo 105-0001",355.00,4.8,1456,5,https://picsum.photos/seed/hotel-38/400/260,"Rooftop bar and city views. Toranomon Hills location.",WiFi|Pool|Restaurant|Bar|Spa|Gym|Concierge,1,2024-02-22 10:00:00,2025-02-01 12:00:00
39,Public Hotel,New York,USA,"215 Chrystie St, New York, NY 10002",189.00,4.4,2100,4,https://picsum.photos/seed/hotel-39/400/260,"Ian Schrager hotel on the Lower East Side. Rooftop and lobby bar.",WiFi|Restaurant|Bar|Gym|Rooftop|Concierge,1,2024-02-23 10:00:00,2025-02-01 12:00:00
40,Wapa di Ume,Ubud,Indonesia,"Banjar Bentuyung, Ubud 80571",165.00,4.7,1123,4,https://picsum.photos/seed/hotel-40/400/260,"Villa resort with rice terrace views. Pool and spa.",WiFi|Pool|Spa|Restaurant|Yoga|Free Breakfast,1,2024-02-24 10:00:00,2025-02-01 12:00:00
41,Strand Palace Hotel,London,UK,"372 Strand, London WC2R 0JJ",165.00,4.3,4567,4,https://picsum.photos/seed/hotel-41/400/260,"Art Deco hotel on the Strand. Near Covent Garden and theatres.",WiFi|Restaurant|Bar|Gym|Concierge,1,2024-02-25 10:00:00,2025-02-01 12:00:00
42,Village Hotel Bugis,Singapore,Singapore,"390 Victoria Street, Singapore 188061",112.00,4.2,3456,3,https://picsum.photos/seed/hotel-42/400/260,"Family-friendly with pool and gym. Near Bugis and Kampong Glam.",WiFi|Pool|Restaurant|Bar|Gym|Concierge,1,2024-02-26 10:00:00,2025-02-01 12:00:00
43,Hotel Les Jardins du Marais,Paris,France,"74 Rue Amelot, 75011 Paris",285.00,4.7,876,4,https://picsum.photos/seed/hotel-43/400/260,"Townhouse hotel with courtyard garden. Quiet Marais location.",WiFi|Restaurant|Bar|Concierge|Garden,1,2024-02-27 10:00:00,2025-02-01 12:00:00
44,Muji Hotel Ginza,Tokyo,Japan,"3-3-5 Ginza, Chuo-ku, Tokyo 104-0061",198.00,4.5,2345,4,https://picsum.photos/seed/hotel-44/400/260,"Minimalist Muji design in Ginza. Cafe and retail below.",WiFi|Restaurant|Concierge|Muji Store,1,2024-02-28 10:00:00,2025-02-01 12:00:00
45,Walker Hotel Greenwich Village,New York,USA,"52 W 13th St, New York, NY 10011",225.00,4.6,1432,4,https://picsum.photos/seed/hotel-45/400/260,"Boutique hotel in Greenwich Village. Cozy lobby and bar.",WiFi|Restaurant|Bar|Concierge,1,2024-03-01 10:00:00,2025-02-01 12:00:00
46,COMO Uma Ubud,Bali,Indonesia,"Jl. Raya Sanggingan, Ubud, Gianyar 80571",412.00,4.9,654,5,https://picsum.photos/seed/hotel-46/400/260,"Wellness-focused resort. Yoga, spa, and holistic dining.",WiFi|Pool|Spa|Restaurant|Yoga|Concierge|Free Breakfast,1,2024-03-02 10:00:00,2025-02-01 12:00:00
47,The Curtain,London,UK,"45 Curtain Road, London EC2A 4PT",195.00,4.5,1876,4,https://picsum.photos/seed/hotel-47/400/260,"Shoreditch hotel with rooftop bar and gym. Near Boxpark.",WiFi|Restaurant|Bar|Gym|Rooftop|Concierge,1,2024-03-03 10:00:00,2025-02-01 12:00:00
48,Oasia Hotel Downtown,Singapore,Singapore,"100 Peck Seah Street, Singapore 079333",178.00,4.5,2100,4,https://picsum.photos/seed/hotel-48/400/260,"Green facade and sky terrace. Pool and bar in Tanjong Pagar.",WiFi|Pool|Restaurant|Bar|Gym|Concierge|Sky Terrace,1,2024-03-04 10:00:00,2025-02-01 12:00:00
49,Hotel du Petit Moulin,Paris,France,"29-31 Rue du Poitou, 75003 Paris",210.00,4.6,1567,4,https://picsum.photos/seed/hotel-49/400/260,"Christian Lacroix-designed rooms in the Haut Marais. Boutique charm.",WiFi|Bar|Concierge,1,2024-03-05 10:00:00,2025-02-01 12:00:00
50,The Peninsula Tokyo,Tokyo,Japan,"1-8-1 Yurakucho, Chiyoda-ku, Tokyo 100-0006",680.00,4.9,1876,5,https://picsum.photos/seed/hotel-50/400/260,"Palace-level service with Imperial Palace views. Spa and multiple restaurants.",WiFi|Pool|Spa|Restaurant|Bar|Gym|Concierge|Helipad,0,2024-03-06 10:00:00,2025-02-01 12:00:00
